epoch;x;y;z
1679868819;249887;21506;-32344
1679872002;250392;20612;-65512
1679867938;250952;20514;-28638
1679878177;251706;22670;-30592
1679880368;250148;22689;-65020
1679818816;249994;20486;-61300
1679819011;250997;21029;-26556
1679825290;252192;22528;-32639
1679826962;249984;21196;-40302
1679831577;251168;20548;-32128
1679819296;250448;20608;-31232
1679837864;249872;22568;-61176
1679839779;250208;22176;-63472
1679844146;250649;20496;-57070
1679844160;249890;22530;-32730
1679850497;250432;23330;-56800
1679853568;251011;21456;-39933
1679855635;249922;20672;-32766
1679859867;249874;21000;-32213
1679859746;251264;22581;-35826
1679866153;250160;20752;-36853
1679868209;250176;21233;-32732
1679872440;250016;22544;-31468
1679867971;250033;20481;-65491
1679878658;250891;20753;-64252
1679880834;250924;20480;-30560
1679950353;250016;22528;-61416
1679950592;250034;22038;-65532
1679956768;249900;21154;-32576
1679958955;251439;21802;-32752
1679963186;251430;21249;-30192
1679966266;250884;22272;-65024
1679966337;251021;21572;-62334
1679972360;251780;21280;-32765
1679974672;250881;22048;-64767
1679978771;249942;21570;-65480
1679950210;250380;20805;-30588
1679984674;251148;22536;-32362
1679987233;250403;20632;-65504
1679991344;250412;20480;-32512
1679991484;250144;20535;-31992
1679997699;250964;23110;-64507
1679999754;249888;22144;-57311
1680003984;250464;22028;-62464
1680007193;249924;21057;-56560
1680007200;249997;20877;-57312
1680013347;250503;21272;-34760
1679818915;250456;21515;-57085
1679822898;250199;22072;-28606
1679819009;250370;20485;-64909
1679829377;249883;21665;-28668
1679831040;249856;20803;-61168
1679835667;249856;23058;-31232
1679835674;250368;20768;-63902
1679841954;250881;20480;-65149
1679843881;249880;20738;-32679
1679848240;250024;22593;-32680
1679819576;250944;21256;-35764
1679854595;251521;21511;-32768
1679857666;251282;21011;-32384
1679859714;249866;22144;-32639
1679863953;251008;20992;-57344
1679851520;250067;21768;-65488
1679870240;251424;22528;-28654
1679872299;249873;21123;-56288
1679876530;249858;21060;-65470
1679876154;251393;20640;-60250
1679882753;249992;21028;-30047
1680081544;250884;21248;-31660
1680085520;249880;22107;-33528
1680081683;251416;22534;-32732
1680091906;250632;20739;-31675
1680094112;251136;21376;-61305
1680098337;249952;21768;-65424
1680101424;250440;20609;-32686
1680097339;249987;21378;-64511
1680107523;250112;21654;-30686
1680109834;250137;20674;-61119
1680113937;250944;20490;-32664
1680114073;250112;20795;-32752
1680119840;250132;20867;-31295
1680122403;251106;22866;-62423
1680126498;249946;21008;-29807
1680114354;249857;20593;-54784
1680132673;249889;21552;-36728
1680134912;249985;20556;-32637
1680139136;249992;20488;-62204
1680142355;250116;20541;-60896
1680080922;250209;21632;-60352
1680082978;249889;22528;-30700
1680085161;249857;22657;-65244
1680089136;251276;20516;-32731
1680089400;249345;20807;-61299
1680095555;250017;20484;-32278
1680097282;250118;20644;-32695
1680101890;250976;21024;-65343
1680097809;250040;22528;-31733
1680108160;248832;21648;-62944
1680110116;250131;20993;-61024
1680114475;250500;21504;-30639
1680114482;249926;20996;-60896
1680120760;250048;20480;-32480
1680123905;251008;21400;-59887
1680125960;249904;21640;-59391
1680130179;250796;20537;-32576
1680130067;249996;22036;-30679
1680136450;251401;20992;-64496
1680138529;250176;21568;-28672
1680142753;249954;21504;-61302
1680146480;249986;22545;-63484
1680214587;249920;21510;-56564
1680216706;251200;20548;-59385
1680220682;250128;20745;-61308
1680220945;250408;20896;-60367
1680227096;249896;20544;-65008
1680229280;250176;20624;-58112
1680233507;250117;20612;-65024
1680236578;251393;21337;-61408
1680236594;249936;21004;-32510
1680242689;249936;21540;-65232
1680244992;250883;21141;-30960
1680249088;251461;20496;-56812
1680245139;251394;20993;-64728
1680255002;250420;21008;-57172
1680257570;249884;20997;-61301
1680261673;250448;20864;-31584
1680261808;249992;22538;-32700
1680267832;249858;20640;-65021
1680270083;251392;20548;-32728
1680274306;250902;22562;-32438
1679818752;250880;23184;-38912
1679818769;249856;21646;-57328
1679824896;250400;21896;-57160
1679827107;250571;21684;-32555
1679831083;250368;20764;-59159
1679819058;247692;20512;-30702
1679837497;249856;20488;-64944
1679839233;250372;21572;-30304
1679843848;246291;21506;-61351
1679843843;250537;22563;-65523
