epoch;x;y;z
25903104;246272;-32608;-3567
25908352;253952;-32768;-1522
25911312;246304;-29632;-1970
25912354;253568;-28568;-2698
25919530;253960;-28664;-3624
25691328;254290;-32496;-3975
25694728;253952;-29435;-2688
25691648;253024;-32766;-1504
25698948;245825;-32756;-3968
25690114;253984;-32752;49
25706498;253971;-29751;-2787
25708560;245923;-32247;-3920
25706656;246296;-27840;-3064
25714688;254116;-30696;-5544
25719875;253349;-28664;-2040
25952394;246196;-30687;-2942
25953280;253184;-28672;-2036
25952265;247353;-32766;-2800
25961472;246272;-29630;-2492
25964676;253992;-29696;-3956
25953555;253976;-29692;-2556
25969186;254481;-28619;-5922
25974412;254210;-30116;-4096
25977637;252416;-31904;-3272
25978924;245861;-31968;-3935
25985155;254033;-27936;-3968
25952459;253960;-32768;-2879
25957378;246641;-32766;-3950
25960457;253569;-31215;-2040
25961600;246656;-32247;-4608
25952520;245794;-28665;-3832
25969679;252769;-28928;-1792
25972774;245808;-32246;-2510
25969838;245793;-31480;-4021
25977349;253952;-30202;-3967
25982540;245842;-30112;-4064
26018436;254052;-27775;-4032
26019595;253993;-28896;-3867
26017794;246797;-32718;-4086
26025994;253956;-31732;-2812
26030241;246564;-27840;-3796
26034216;253957;-28446;-4096
26035264;253448;-29999;-3776
26034311;253992;-31471;-3832
26043598;245764;-31744;-4848
26046468;254085;-32247;-6080
26051597;245892;-31456;-3712
25952388;245776;-31968;0
25957896;245776;-32572;-4016
25960995;252932;-28284;-3767
25962026;245928;-30528;-5822
25952960;245776;-32632;-3552
25968649;252532;-28448;200
25972736;246406;-28380;-3548
25970823;246407;-30191;-4096
25977871;253984;-32640;-2560
26083334;246205;-28664;-4096
26084365;245840;-28666;-3579
26087588;253988;-29963;-3680
26084652;253472;-29499;-3540
26091587;246288;-28645;-3520
26096778;253478;-28285;-4091
26100226;254849;-29146;-4072
26101257;246912;-32332;-6528
26100224;245835;-27054;-3437
26109576;254020;-32415;-3688
26112783;253000;-32237;-3728
26118182;246280;-32704;-3936
26083374;252288;-27495;585
26083525;246009;-32368;-3584
26092556;254144;-30712;-3680
26095620;253952;-31583;-2806
26084491;245828;-28672;-3061
26099970;250880;-28630;-3927
26104840;254082;-30063;-3287
26107937;246024;-32287;-3757
26109096;249346;-32448;1536
26149424;254480;-32744;-5376
26150471;245867;-32608;-3824
26153614;247568;-32676;578
26150660;245906;-28348;-3036
26157069;253976;-30064;-4096
26148868;247296;-30711;-7680
26165387;245802;-32476;-4086
26169379;245767;-28144;-3840
26166314;254181;-27615;-3951
26173569;254369;-29376;-3960
