epoch;x;y;z
163284484;255635;-18150;19076
163289611;256809;-18337;16542
163294738;255880;-18756;16128
163299865;256291;-18278;12336
163304992;255967;-17680;13114
163310119;256306;-16996;15835
163315246;255650;-18501;18992
163320373;256483;-17372;14475
163325500;256951;-16672;11157
163330627;255572;-17496;13319
163335754;255782;-17926;14547
163340881;257139;-18090;16175
163346008;257535;-17374;14178
163351135;257286;-17115;12300
163356262;255383;-18517;15000
163361389;256111;-18624;15277
163366516;256777;-18319;15730
163371643;257282;-18457;12945
163376770;257170;-17289;12231
163381896;255678;-17195;11265
163387023;255762;-17176;14121
163392150;255965;-18294;15626
163397277;257182;-17753;15599
163402404;255768;-16994;15635
163407531;255597;-17518;15402
163412658;255697;-18437;17076
163417785;256325;-18342;16137
163422912;256646;-17773;16228
163428039;256948;-16615;14774
163433166;255222;-17684;14758
163438293;256095;-18283;14960
163443420;257065;-18718;14721
163448547;257444;-18151;13940
163453674;256033;-17480;15854
163458801;255569;-17340;13156
163463928;256653;-17459;13034
163469055;256769;-18820;14587
163474182;257499;-18984;14013
163479309;256339;-17533;13983
163484436;255753;-17360;14208
163489562;256699;-17893;13610
163494689;257239;-19459;12438
163499816;256891;-18519;13901
163504943;256339;-16658;15959
163510070;255787;-16722;13266
163515197;256644;-17961;15998
163520324;256824;-19174;14180
163525451;256397;-18998;14699
163530578;256504;-17039;13311
163535705;256261;-16752;14650
163540832;255879;-18144;15383
163545959;257677;-19163;10845
163551086;256437;-19221;16130
163556213;255752;-17591;16227
163561340;255838;-17352;15806
163566467;256553;-17541;15996
163571594;256887;-18912;14026
163576721;256453;-19279;13683
163581848;257076;-17403;13919
163586975;257085;-15647;11820
163592102;257126;-17691;14698
163597229;257508;-18564;12350
163602355;257135;-19600;13465
163607482;256788;-17846;13273
163612609;256926;-16218;11601
163617736;256457;-17516;14172
163622863;257076;-18844;13079
163627990;256623;-19710;14677
163633117;256527;-17934;13440
163638244;256126;-16846;12817
163643371;256325;-17233;16371
163648498;256392;-18486;16235
163653625;256385;-19599;14626
163658752;256340;-17656;14871
163663879;255989;-15712;13781
163669006;256145;-16533;16489
163674133;255981;-18630;17538
163679260;256952;-20343;14599
163684387;257389;-17792;14805
163689514;256224;-16182;12066
163694641;256430;-16607;14719
163699768;256755;-18787;15796
163704895;257645;-19857;12520
163710021;256480;-18653;12249
163715148;256301;-16673;10932
163720275;256187;-17462;14258
163725402;257918;-17842;14715
163731323;256487;-18634;13867
163736450;256877;-16806;12422
163741577;255660;-17003;14450
163746704;255848;-16658;17664
163751831;256365;-19271;16037
163756958;257037;-18799;13386
163762084;256667;-16856;11661
163767211;256379;-16302;14141
163772338;256904;-17286;14413
163777465;256065;-19188;15797
163782592;257302;-19430;12717
163787719;257202;-17387;11212
163792846;256436;-16971;11910
